claim_id,label,domain,text,winner_language,differential,spread,mapped_score,mapped_basis,ppl_de,ppl_es,ppl_fr,ppl_ja,ppl_pt,ppl_en,logprob_de,logprob_es,logprob_fr,logprob_ja,logprob_pt,logprob_en,tokens_de,tokens_es,tokens_fr,tokens_ja,tokens_pt,tokens_en,model,timestamp
50,FALSE,REGULATORY,"The Basel III framework applies only to European banks.",es,0.001844,0.043818,0.1274,SPECULATION,1.0586,1.0463,1.0482,1.1443,1.1688,1.0895,-0.0570,-0.0453,-0.0471,-0.1348,-0.1560,-0.0857,15,14,17,25,16,12,gpt-4o-mini,2026-02-17T20:49:41.664Z
51,CONTESTED,TECHNICAL,"Large language models understand the meaning of the text they generate.",en,0.004595,0.102877,0.3255,PATTERN_MATCH,1.0418,1.1226,1.2121,1.0472,1.3586,1.0372,-0.0410,-0.1157,-0.1924,-0.0461,-0.3064,-0.0365,18,14,18,20,18,12,gpt-4o-mini,2026-02-17T20:49:44.494Z
52,CONTESTED,BUSINESS,"Remote work is more productive than in-office work.",en,0.019897,0.119801,0.3439,PATTERN_MATCH,1.1174,1.2466,1.2120,1.1013,1.5067,1.0814,-0.1110,-0.2204,-0.1923,-0.0965,-0.4099,-0.0783,11,17,18,21,63,13,gpt-4o-mini,2026-02-17T20:49:48.125Z
53,CONTESTED,GENERAL,"Nuclear energy is the safest form of power generation per unit of energy produced.",en,0.016648,0.043573,0.1361,SPECULATION,1.0590,1.1383,1.1447,1.1366,1.1776,1.0424,-0.0574,-0.1295,-0.1351,-0.1281,-0.1635,-0.0415,20,20,24,31,22,19,gpt-4o-mini,2026-02-17T20:49:51.148Z
54,CONTESTED,BUSINESS,"Cryptocurrency will eventually replace traditional fiat currencies.",fr,0.019275,0.130912,0.3431,PATTERN_MATCH,1.1085,1.2595,1.0242,1.0434,1.1379,1.4730,-0.1030,-0.2307,-0.0239,-0.0425,-0.1292,-0.3873,13,14,20,27,20,11,gpt-4o-mini,2026-02-17T20:49:54.105Z
55,CONTESTED,TECHNICAL,"Microservices architecture is superior to monolithic architecture.",ja,0.141380,0.159739,0.4897,PATTERN_MATCH,1.1988,1.3413,1.7183,1.0574,1.2094,1.4449,-0.1813,-0.2936,-0.5413,-0.0558,-0.1901,-0.3680,16,15,111,29,18,12,gpt-4o-mini,2026-02-17T20:49:59.452Z
56,CONTESTED,SOCIAL,"Social media usage causes depression in teenagers.",ja,0.052900,0.129426,0.3835,PATTERN_MATCH,1.2990,1.2816,1.6594,1.1512,1.2052,1.2041,-0.2616,-0.2481,-0.5065,-0.1408,-0.1866,-0.1857,12,16,37,31,20,12,gpt-4o-mini,2026-02-17T20:50:03.608Z
57,CONTESTED,SOCIAL,"Universal basic income would reduce poverty without reducing workforce participation.",es,0.050317,0.052585,0.1617,SPECULATION,1.1142,1.0455,1.1700,1.0958,1.1783,1.2272,-0.1082,-0.0445,-0.1570,-0.0915,-0.1641,-0.2048,27,17,25,34,21,19,gpt-4o-mini,2026-02-17T20:50:06.792Z
58,CONTESTED,TECHNICAL,"Agile development methodology produces higher quality software than waterfall.",ja,0.084618,0.119325,0.4215,PATTERN_MATCH,1.5517,1.2266,1.2683,1.0766,1.1612,1.1954,-0.4393,-0.2042,-0.2377,-0.0738,-0.1495,-0.1785,19,16,23,29,21,14,gpt-4o-mini,2026-02-17T20:50:09.754Z
59,CONTESTED,BUSINESS,"China's GDP will surpass the United States by 2030.",en,0.007860,0.043342,0.1307,SPECULATION,1.1137,1.2379,1.1153,1.1043,1.1082,1.0964,-0.1077,-0.2134,-0.1091,-0.0992,-0.1027,-0.0921,18,16,35,19,16,16,gpt-4o-mini,2026-02-17T20:50:12.785Z
60,CONTESTED,GENERAL,"Organic food is healthier than conventionally grown food.",pt,0.066667,0.053743,0.1722,SPECULATION,1.1056,1.1142,1.2313,1.1724,1.0389,1.1720,-0.1003,-0.1081,-0.2081,-0.1591,-0.0382,-0.1587,17,17,21,25,17,11,gpt-4o-mini,2026-02-17T20:50:15.806Z
61,CONTESTED,SOCIAL,"AI-generated art constitutes genuine artistic expression.",en,0.007645,0.031948,0.1238,SPECULATION,1.0626,1.1025,1.1079,1.1561,1.0678,1.0549,-0.0607,-0.0976,-0.1025,-0.1451,-0.0656,-0.0535,13,13,16,17,17,11,gpt-4o-mini,2026-02-17T20:50:19.222Z
62,CONTESTED,TECHNICAL,"Open source software is more secure than proprietary software.",es,0.008354,0.134690,0.3300,PATTERN_MATCH,1.0103,1.0019,1.4684,1.1131,1.1942,1.2073,-0.0102,-0.0019,-0.3842,-0.1071,-0.1775,-0.1884,13,13,52,38,10,11,gpt-4o-mini,2026-02-17T20:50:23.767Z
63,CONTESTED,SOCIAL,"Immigration has a net positive economic impact on host countries.",de,0.065485,0.060131,0.1754,SPECULATION,1.0687,1.1738,1.2594,1.1342,1.2208,1.2725,-0.0665,-0.1603,-0.2306,-0.1260,-0.1995,-0.2410,18,18,16,24,19,10,gpt-4o-mini,2026-02-17T20:50:26.964Z
64,CONTESTED,SOCIAL,"The gig economy benefits workers by providing flexibility.",ja,0.021308,0.169952,0.3456,PATTERN_MATCH,1.2119,1.3479,1.7232,1.0728,1.2405,1.0941,-0.1922,-0.2986,-0.5442,-0.0703,-0.2155,-0.0900,17,34,50,31,19,10,gpt-4o-mini,2026-02-17T20:50:30.990Z
65,CONTESTED,BUSINESS,"Venture capital funding is the best path for startup growth.",en,0.017110,0.037566,0.1328,SPECULATION,1.0644,1.1307,1.1580,1.0913,1.1467,1.0473,-0.0624,-0.1228,-0.1467,-0.0873,-0.1369,-0.0462,23,17,20,29,20,13,gpt-4o-mini,2026-02-17T20:50:34.489Z
66,CONTESTED,TECHNICAL,"Artificial general intelligence will be achieved within the next decade.",ja,0.040890,0.217662,0.3691,PATTERN_MATCH,1.4020,1.2524,1.1065,1.0597,1.8766,1.1006,-0.3379,-0.2251,-0.1012,-0.0580,-0.6295,-0.0958,20,12,15,20,27,12,gpt-4o-mini,2026-02-17T20:50:37.609Z
67,CONTESTED,REGULATORY,"Carbon offsets are an effective tool for combating climate change.",ja,0.009791,0.069841,0.1478,SPECULATION,1.1490,1.0736,1.2056,1.0639,1.2848,1.0866,-0.1389,-0.0711,-0.1870,-0.0619,-0.2506,-0.0831,21,15,42,29,15,12,gpt-4o-mini,2026-02-17T20:50:43.319Z
68,CONTESTED,SOCIAL,"Standardized testing accurately measures student intelligence.",de,0.217746,0.092846,0.4914,PATTERN_MATCH,1.0177,1.3060,1.2355,1.2672,1.4012,1.2556,-0.0176,-0.2670,-0.2114,-0.2368,-0.3374,-0.2276,15,14,14,19,16,12,gpt-4o-mini,2026-02-17T20:50:46.133Z
69,CONTESTED,TECHNICAL,"Rust will replace C++ as the dominant systems programming language.",ja,0.079695,0.079796,0.1957,SPECULATION,1.3339,1.1424,1.2275,1.0627,1.1541,1.3129,-0.2881,-0.1331,-0.2050,-0.0608,-0.1433,-0.2722,14,19,26,27,22,16,gpt-4o-mini,2026-02-17T20:50:49.825Z
70,CONTESTED,REGULATORY,"Central bank digital currencies will improve financial inclusion.",en,0.024805,0.123710,0.3498,PATTERN_MATCH,1.0474,1.4294,1.1553,1.0500,1.2430,1.0226,-0.0463,-0.3573,-0.1444,-0.0488,-0.2175,-0.0224,16,12,18,20,20,13,gpt-4o-mini,2026-02-17T20:50:53.020Z
71,CONTESTED,SOCIAL,"Minimum wage increases reduce employment.",de,0.001116,0.127230,0.3213,PATTERN_MATCH,1.0129,1.3436,1.4168,1.0140,1.2574,1.1798,-0.0128,-0.2953,-0.3484,-0.0139,-0.2290,-0.1654,16,15,14,20,13,13,gpt-4o-mini,2026-02-17T20:50:56.020Z
72,CONTESTED,GENERAL,"Electric vehicles have a lower total lifecycle carbon footprint than combustion vehicles.",pt,0.052517,0.033281,0.1515,SPECULATION,1.2150,1.1759,1.2536,1.1913,1.1234,1.2072,-0.1947,-0.1621,-0.2260,-0.1750,-0.1164,-0.1883,30,27,25,34,26,18,gpt-4o-mini,2026-02-17T20:50:59.501Z
73,CONTESTED,REGULATORY,"Regulation of tech companies stifles innovation.",es,0.015295,0.061432,0.1460,SPECULATION,1.0277,1.0124,1.0370,1.1124,1.1500,1.1901,-0.0273,-0.0123,-0.0364,-0.1065,-0.1398,-0.1741,11,12,14,21,13,8,gpt-4o-mini,2026-02-17T20:51:02.614Z
74,CONTESTED,TECHNICAL,"TypeScript's type system prevents most runtime errors.",de,0.009737,0.190715,0.3317,PATTERN_MATCH,1.0090,1.0187,1.5840,1.0406,1.1323,1.4697,-0.0089,-0.0185,-0.4600,-0.0398,-0.1243,-0.3851,15,20,36,27,22,17,gpt-4o-mini,2026-02-17T20:51:05.843Z
75,CONTESTED,SOCIAL,"Billionaires create more jobs than government spending programs.",de,0.018028,0.043056,0.1367,SPECULATION,1.0048,1.1169,1.0808,1.0228,1.1088,1.1229,-0.0048,-0.1105,-0.0777,-0.0225,-0.1033,-0.1160,14,16,17,26,17,11,gpt-4o-mini,2026-02-17T20:51:09.717Z
76,STALE,BUSINESS,"Twitter has approximately 330 million monthly active users.",es,0.013067,0.134464,0.3357,PATTERN_MATCH,1.0733,1.0387,1.0518,1.1405,1.3030,1.4743,-0.0707,-0.0380,-0.0505,-0.1315,-0.2647,-0.3882,12,14,13,18,36,11,gpt-4o-mini,2026-02-17T20:51:13.029Z
77,STALE,TECHNICAL,"Moore's Law predicts transistor density doubling every two years.",pt,0.025993,0.110789,0.3512,PATTERN_MATCH,1.0714,1.3598,1.2723,1.0422,1.0162,1.1052,-0.0690,-0.3073,-0.2408,-0.0414,-0.0161,-0.1000,20,43,40,28,19,21,gpt-4o-mini,2026-02-17T20:51:16.547Z
78,STALE,BUSINESS,"Interest rates in the United States are near zero.",de,0.004014,0.060067,0.1384,SPECULATION,1.0403,1.2186,1.0493,1.0481,1.0443,1.1237,-0.0395,-0.1977,-0.0481,-0.0470,-0.0433,-0.1167,13,12,13,16,12,11,gpt-4o-mini,2026-02-17T20:51:20.351Z
79,STALE,BUSINESS,"Inflation in the United States is running at approximately 9 percent annually.",pt,0.058726,0.066971,0.1754,SPECULATION,1.0923,1.0714,1.2116,1.2227,1.0126,1.1485,-0.0883,-0.0689,-0.1919,-0.2010,-0.0126,-0.1385,16,15,19,17,15,15,gpt-4o-mini,2026-02-17T20:51:23.740Z
80,STALE,REGULATORY,"The UK is a member of the European Union.",en,0.002378,0.073552,0.1456,SPECULATION,1.2389,1.0895,1.1291,1.0734,1.0058,1.0034,-0.2143,-0.0857,-0.1215,-0.0709,-0.0058,-0.0034,12,10,10,15,9,9,gpt-4o-mini,2026-02-17T20:51:26.504Z
81,STALE,BUSINESS,"WeWork is valued at $47 billion.",pt,0.010621,0.054034,0.1388,SPECULATION,1.1825,1.0472,1.0617,1.1003,1.0106,1.0212,-0.1677,-0.0462,-0.0598,-0.0956,-0.0105,-0.0210,11,13,12,11,13,10,gpt-4o-mini,2026-02-17T20:51:29.278Z
82,STALE,TECHNICAL,"Heroku offers a free tier for hobby projects.",en,0.033226,0.079848,0.1678,SPECULATION,1.1541,1.3344,1.2604,1.1180,1.3138,1.0847,-0.1433,-0.2885,-0.2314,-0.1115,-0.2730,-0.0813,12,11,11,18,13,10,gpt-4o-mini,2026-02-17T20:51:32.153Z
83,STALE,GENERAL,"Russia is the largest supplier of natural gas to Europe.",ja,0.003781,0.043661,0.1285,SPECULATION,1.0430,1.1666,1.0860,1.0304,1.0342,1.0773,-0.0421,-0.1541,-0.0825,-0.0299,-0.0336,-0.0745,13,12,15,22,13,11,gpt-4o-mini,2026-02-17T20:51:35.101Z
84,STALE,BUSINESS,"Silicon Valley Bank is one of the top 20 banks in the United States.",de,0.023256,0.047608,0.1425,SPECULATION,1.0110,1.0979,1.1154,1.1611,1.1226,1.0343,-0.0110,-0.0934,-0.1092,-0.1493,-0.1157,-0.0337,17,16,15,20,15,16,gpt-4o-mini,2026-02-17T20:51:38.732Z
85,STALE,BUSINESS,"FTX is a leading cryptocurrency exchange.",de,0.030605,0.061491,0.1553,SPECULATION,1.0089,1.1638,1.1966,1.0553,1.0937,1.0395,-0.0089,-0.1517,-0.1795,-0.0538,-0.0895,-0.0388,10,17,23,14,15,10,gpt-4o-mini,2026-02-17T20:51:41.799Z
86,STALE,REGULATORY,"The WHO classifies COVID-19 as a global pandemic.",pt,0.025931,0.054338,0.1482,SPECULATION,1.1423,1.2022,1.1477,1.0558,1.0298,1.0720,-0.1331,-0.1842,-0.1378,-0.0543,-0.0294,-0.0696,12,13,13,17,13,13,gpt-4o-mini,2026-02-17T20:51:44.704Z
87,STALE,BUSINESS,"Global supply chain disruptions are causing widespread semiconductor shortages.",fr,0.007112,0.126206,0.3285,PATTERN_MATCH,1.0671,1.4815,1.0599,1.1772,1.3755,1.1964,-0.0649,-0.3930,-0.0582,-0.1631,-0.3188,-0.1793,23,37,25,25,34,14,gpt-4o-mini,2026-02-17T20:51:47.794Z
88,STALE,TECHNICAL,"CentOS is a free enterprise Linux distribution supported by Red Hat.",de,0.012039,0.143550,0.3344,PATTERN_MATCH,1.0386,1.0647,1.0589,1.0507,1.5011,1.1321,-0.0379,-0.0627,-0.0573,-0.0494,-0.4062,-0.1241,18,16,16,28,17,17,gpt-4o-mini,2026-02-17T20:51:51.635Z
89,STALE,REGULATORY,"The Paris Agreement commits nations to limiting warming to 1.5 degrees Celsius.",de,0.044735,0.118514,0.3737,PATTERN_MATCH,1.0369,1.1114,1.4190,1.1249,1.3327,1.0816,-0.0362,-0.1056,-0.3499,-0.1177,-0.2872,-0.0784,26,29,42,30,28,20,gpt-4o-mini,2026-02-17T20:52:04.160Z
90,STALE,BUSINESS,"Zoom is primarily used as a video conferencing tool for remote work during the pandemic.",de,0.025234,0.140259,0.3503,PATTERN_MATCH,1.1862,1.6420,1.2209,1.2115,1.6330,1.3707,-0.1708,-0.4959,-0.1996,-0.1918,-0.4904,-0.3153,17,35,25,30,27,18,gpt-4o-mini,2026-02-17T20:52:09.757Z
91,STALE,TECHNICAL,"Docker is the dominant container runtime in Kubernetes.",en,0.013482,0.074988,0.1531,SPECULATION,1.0411,1.0967,1.2776,1.1371,1.1692,1.0277,-0.0403,-0.0923,-0.2450,-0.1285,-0.1563,-0.0273,14,13,16,21,15,10,gpt-4o-mini,2026-02-17T20:52:12.785Z
92,STALE,BUSINESS,"Yahoo is one of the most valuable internet companies.",de,0.017151,0.184852,0.3406,PATTERN_MATCH,1.0117,1.0288,1.6355,1.0727,1.1056,1.1229,-0.0116,-0.0284,-0.4920,-0.0702,-0.1004,-0.1159,10,12,34,19,14,12,gpt-4o-mini,2026-02-17T20:52:15.662Z
93,STALE,REGULATORY,"The Trans-Pacific Partnership is the largest trade agreement in history.",de,0.004169,0.147405,0.3250,PATTERN_MATCH,1.0229,1.0330,1.4864,1.0270,1.0495,1.1277,-0.0226,-0.0325,-0.3964,-0.0267,-0.0484,-0.1201,18,17,17,23,15,12,gpt-4o-mini,2026-02-17T20:52:18.867Z
94,STALE,BUSINESS,"LIBOR is the primary benchmark for global interest rates.",ja,0.007330,0.112554,0.3288,PATTERN_MATCH,1.0925,1.4807,1.1943,1.0851,1.1261,1.2163,-0.0884,-0.3925,-0.1776,-0.0817,-0.1188,-0.1958,18,15,18,17,16,15,gpt-4o-mini,2026-02-17T20:52:22.103Z
95,STALE,TECHNICAL,"AngularJS is the most popular frontend JavaScript framework.",de,0.012820,0.247576,0.3354,PATTERN_MATCH,1.0193,1.2194,1.9246,1.0321,1.4175,1.0852,-0.0191,-0.1984,-0.6547,-0.0316,-0.3489,-0.0818,17,13,16,23,15,10,gpt-4o-mini,2026-02-17T20:52:24.942Z
96,STALE,BUSINESS,"Oil prices are negative.",de,0.070749,0.215706,0.4049,PATTERN_MATCH,1.0175,1.6869,1.6979,1.0882,1.2046,1.1211,-0.0173,-0.5229,-0.5294,-0.0845,-0.1861,-0.1143,6,7,13,11,8,7,gpt-4o-mini,2026-02-17T20:52:27.543Z
97,STALE,REGULATORY,"The Privacy Shield framework governs EU-US data transfers.",en,0.027348,0.061530,0.1533,SPECULATION,1.1160,1.0815,1.0404,1.1538,1.2144,1.0130,-0.1097,-0.0784,-0.0396,-0.1431,-0.1942,-0.0129,21,22,21,29,20,16,gpt-4o-mini,2026-02-17T20:52:32.272Z
98,STALE,BUSINESS,"Clubhouse is the fastest-growing social media platform.",de,0.018386,0.324664,0.3421,PATTERN_MATCH,1.0165,1.0381,2.1937,1.0857,1.0767,1.2904,-0.0163,-0.0374,-0.7856,-0.0822,-0.0739,-0.2549,16,14,18,26,14,12,gpt-4o-mini,2026-02-17T20:52:34.963Z
99,STALE,BUSINESS,"NFTs are a billion-dollar market.",ja,0.097295,0.074797,0.2033,SPECULATION,1.2715,1.1602,1.3329,1.0566,1.1539,1.1671,-0.2402,-0.1486,-0.2874,-0.0551,-0.1432,-0.1546,9,11,11,12,12,9,gpt-4o-mini,2026-02-17T20:52:37.794Z
100,STALE,TECHNICAL,"Solana processes 65,000 transactions per second.",de,0.007342,0.170675,0.3288,PATTERN_MATCH,1.0019,1.0872,1.0589,1.0537,1.5524,1.0092,-0.0019,-0.0836,-0.0572,-0.0523,-0.4398,-0.0092,13,15,14,23,40,12,gpt-4o-mini,2026-02-17T20:52:41.114Z